Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Tomkiewicz, Aleshia | Visited Node Sequence : ->(Empty root node)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Zigomalas, Evan | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Andrade, France | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Mcwalters, Ulysses | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Veness, Tyisha | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Rampy, Eric | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Grasmick, Marg | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Hisaw, Laquita | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Manzella, Lura | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Klapec, Yuette | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Writer, Fernanda | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Erm, Charlesetta | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Jaret, Corrinne | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Bruch, Niesha | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Gastellum, Rueben | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Throssell, Michell | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Kanne, Edgar | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(L)->Jaret, Corrinne(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Julio, Dewitt | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(L)->Jaret, Corrinne(R)->Kanne, Edgar(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Spinello, Charisse | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Lapinski, Mee | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Gutierres, Peter | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Salvadore, Octavio | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Teplica, Martha | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Veigel, Tamesha | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Sitra, Tess | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Kufner, Leonard | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->Lapinski, Mee(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Tauras, Svetlana | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(R)->Teplica, Martha(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Molaison, Pok | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Growcock, Augustine | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(L)->Gutierres, Peter(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Quarto, Karma | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Weisinger, Reed | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(R)->Writer, Fernanda(L)->(Empty left child)
